0,Faesida,31,f,964
1,Dougar,11,f,4108
2,Mnelas,43,f,3896
3,Colace,68,m,1583
4,Sharpredeemer,34,f,2991
5,Thunderforge,7,m,4783
6,Bluefont,36,m,4256
7,Kazrajin,80,m,4433
8,Saberdefender,100,f,4593
9,Botus,7,m,4942
10,Kazijar,25,m,2791
11,Perikelv,83,f,4182
12,Nagrinn,71,f,4905
13,Hugimand,39,m,4069
14,Kathrilar,76,m,1679
15,Laihuginn,98,m,422
16,Chillworm,84,f,1949
17,Anaron,31,f,2421
18,Nele,42,f,645
19,Aurinis,94,m,300
20,Moonmane,20,m,1886
21,Keledora,54,m,4062
22,Akilar,73,f,3321
23,Burithis,18,f,2915
24,Balladordred,71,m,2934
25,Kirirad,19,m,2853
26,Centrirgas,41,m,3774
27,Gakus,57,m,3482
28,Ishnhelm,62,f,3277
29,Saithirius,32,m,2644
30,Zulura,73,m,4062
31,Faujind,24,m,3846
32,Moogushakar,83,f,3678
33,Fearlessfont,39,m,4395
34,Shagra,91,m,2105
35,Andromadora,73,f,2908
36,Aurus,51,f,4587
37,Spellfist,9,f,2618
38,Cemeena,94,m,305
39,Gataur,98,f,2872
40,Whitebrew,92,f,4188
41,Hunis,79,f,3674
42,Balladodred,33,f,4730
43,Akikus,77,m,614
44,Dianalace,21,m,3034
45,Agamalsa,45,m,1166
46,Kakora,36,f,3852
47,Beagas,97,m,865
48,Sharana,32,m,4601
49,Shabandis,12,m,3296
50,Goltikinos,82,f,2009
51,Ironwind,62,m,1126
52,Kinos,15,m,1190
53,Barad,65,m,1084
54,Rockbreaker,93,f,688
55,Trueskin,90,m,849
56,Lairdana,65,f,1365
57,Agamabandis,43,m,4385
58,Nikojas,24,f,288
59,Akilkree,47,m,4309
60,Fomeena,12,f,1748
61,Oghmath,83,f,465
62,Broaddweller,82,f,1556
63,Dalagelv,26,m,2961
64,Keralore,16,f,1809
65,Zuzshura,62,m,1455
66,Merr,62,f,2845
67,Redsinger,75,f,4321
68,Mejind,29,f,1127
69,Dadred,50,f,1019
70,Doritus,72,f,3496
71,Hellstaff,24,f,159
72,Fonaya,44,f,3965
73,Adoralune,99,m,3647
74,Alsardin,84,m,4296
75,Umntrius,4,m,110
76,Goltisida,35,f,4522
77,Spellraven,85,m,3324
78,Auriri,5,f,3275
79,Kejinn,82,f,984
80,Gavinragrinn,27,m,1306
81,Runeshade,29,m,357
82,Kalar,9,f,3372
83,Vom,12,m,1347
84,Aunn,58,f,1326
85,Painbringer,79,m,217
86,Gavitus,88,f,4342
87,Blackfist,9,m,4372
88,Doriris,100,m,112
89,Cezel,86,f,3859
90,Nazel,16,f,102
91,Centriri,14,m,1290
92,Doulkree,14,f,503
93,Whispersinger,96,f,3182
94,Kirinadar,0,m,3131
95,Dugami,78,m,4555
96,Meztizuru,22,m,458
97,Vuran,35,m,998
98,Kigazragore,90,f,1039
99,Aurifym,5,f,3887
100,Moge,28,m,4489
101,Miralbine,38,m,222
102,Kirikelv,50,f,4190
103,Starmoon,44,m,2928
104,Agalanim,99,m,3248
105,Oghmaginn,17,m,574
106,Stonemoon,20,f,2241
107,Sabermane,99,m,778
108,Mnerdana,16,m,612
109,Felhari,6,f,1852
110,Faesida,48,f,1291
111,Gavinranis,23,m,3871
112,Monris,38,m,3823
113,Grardred,80,f,4629
114,Gavithris,35,m,3709
115,Hugidwyn,80,m,807
116,Landazius,46,f,1405
117,Dorinara,39,m,4504
118,JoJomi,54,m,130
119,Saberhunter,96,m,771
120,Kuladora,72,f,4478
121,Perirne,58,f,2439
122,Dianari,3,m,4250
123,Yggfym,62,m,3629
124,Bralore,8,m,953
125,Teril,64,f,4148
126,Flamekiller,75,m,63
127,Beagas,87,m,1430
128,Grawield,56,m,100
129,Mnege,81,m,367
130,Darn,79,m,2390
131,Manahelm,71,m,2450
132,Adodor,82,m,3421
133,Gridred,14,f,1541
134,Mezira,53,m,2331
135,Pethris,73,m,507
136,Arashikasa,0,m,2706
137,Tulabar,58,f,4176
138,Iannius,15,f,4107
139,Gravelrunner,20,m,2211
140,Opirdred,97,m,3816
141,Tholar,21,m,536
142,Tahn,4,f,3394
143,Shakaran,91,f,4261
144,Modizan,11,m,3944
145,Dalalore,12,f,3177
146,Taushura,42,m,4174
147,Nuari,29,f,1581
148,Murgas,49,f,1093
149,Mazugor,73,m,512
150,Buzanara,1,f,521
151,Kebandis,24,m,129
152,Gogal,60,m,602
153,Meztikazahn,57,m,922
154,Coidar,11,f,4041
155,Andromagar,32,m,1111
156,Thordilv,15,m,2777
157,Gajas,88,m,4003
158,Kazijora,37,f,4181
159,Gavidwyn,68,m,1628
160,Thorgaghma,57,f,4864
161,Buzari,60,m,3211
162,Dorilas,13,f,3708
163,Ariuath,19,m,3581
164,Araramar,36,f,1418
165,Blackbrand,78,f,4502
166,Akinoran,86,f,255
167,Ganos,18,f,3732
168,Siragar,12,f,4799
169,Morne,6,m,4844
170,Ariulas,45,f,861
171,Dozahn,5,f,1569
172,Oghmaril,40,m,2251
173,Thordibor,54,f,4620
174,Mnezan,39,f,566
175,Lainara,94,f,111
176,Shalizius,80,m,1659
177,Kerius,74,m,2279
178,Akinojora,80,f,893
179,Virisar,65,m,889
180,Kajilar,46,f,1692
181,Perizius,38,f,4697
182,Kazrall,43,m,4930
183,Rexskin,82,f,38
184,Cordari,4,f,4554
185,Starpick,80,f,1781
186,Malolv,51,f,3921
187,Nuadafyn,39,f,3861
188,Brann,66,f,1527
189,Dumuro,73,m,2396
190,Shadowskin,0,m,3395
191,Whitecliff,27,f,2867
192,Moriel,20,m,1783
193,Zulular,33,f,3152
194,Jugis,73,f,3015
195,Akinorg,63,f,656
196,Nebei,70,m,3699
