0,Faesida,27,f,2551,244
1,Dougar,48,m,1880,143
2,Mnelas,86,m,3103,390
3,Colace,94,f,3611,886
4,Sharpredeemer,60,f,3246,843
5,Thunderforge,59,m,2598,913
6,Bluefont,86,m,1627,316
7,Kazrajin,75,m,2263,185
8,Saberdefender,22,f,1378,133
9,Botus,76,f,3007,297
10,Kazijar,84,f,3947,152
11,Perikelv,44,f,4447,653
12,Nagrinn,29,m,1516,612
13,Hugimand,98,m,3073,769
14,Kathrilar,41,m,1524,211
15,Laihuginn,100,f,2587,308
16,Chillworm,9,m,2575,700
17,Anaron,15,f,1284,423
18,Nele,61,f,45,272
19,Aurinis,33,f,3843,190
20,Moonmane,48,f,1446,187
21,Keledora,30,f,2646,488
22,Akilar,64,m,4741,692
23,Burithis,50,f,881,910
24,Balladordred,3,f,4709,344
25,Kirirad,78,f,2663,944
